,,@bgm_play name=仮
,,@bg_show name=おじいさんの部屋
,,@se_play name=pouring.mp3
,,私はおもむろに急須のお茶を机の上に注いでみた
,,@still_show name=still_water
,,もちろん、なにか器に注いだわけではないので、ちゃぶ台にお茶が広がっていく
,,（…私、何やってるんだろ）
,,（早く拭かなきゃ）
,,そう思って立とうとした瞬間
,,ガンッと頭に激痛が走った
,,お湯の広がりから目が離せなくなる
,,透明だったはずのその広がりが
,,段々と、
,,深い深い赤に見えてくる
,,（なにこれ）
,,思い出すな、と内なる私が警鐘を鳴らしているのが聞こえるようだが
,,私はどうしても記憶を辿ってしまう
,,この赤は…
,,@still_hide
,,@bg_show name=くろ
,,@chara_show name=幼女 pos=center
幼女,dark,「おかあさんの あかだよ」
,,@chara_hide name=幼女
,,…
,,…
,,ああ
,,思い出したくなかった
,,@bg_hide
,,@end
