,,@bgm_play name=仮
,,@bg_show name=チャコの部屋
,,えいっ
,,@se_play name=scissoring_papers.mp3
,,わたしはぬいぐるみを切った
,,しかしそこには何もなかった
,,「あれ…おかしいな」
,,@se_play name=zinari.mp3
,,@still_show name=still_mozi
,,すると突然地鳴りのような音が耳に響いた
,,（え、なに…？）
,,目の前に立っている女の子がこちらを向いた。
,,@still_hide
,,@bg_show name=チャコの部屋
,,@chara_show name=幼女 pos=center
幼女,dark,「わたしのたいせつなひとたちと」
,,「わたしのおにんぎょうたちを」
,,「あなたはきずつけた」
,,この子にこんな視線を向けられたことは今までない
,,なんで少し
,,ゾクゾクしてしている自分がいるんだろう
,,@se_play name=zinari.mp3
,,「もとに もどして」
,,@chara_hide name=幼女
,,「キャッ…」
,,@bg_show name=しろ
,,突然視界がホワイトアウトして
,,上も下もわからなくなってしまった
,,自分の置かれている状況が全然わからない
,,けほっ
,,ケホッケホッ
,,@still_show name=still_mokumoku
,,意識が戻ると、そこは自分の部屋で
,,「?!」
,,息ができない
,,苦しい
,,あ、これ
,,わたしがやった…
,,そこでわたしの意識は終わった。
,,@stil_hide
,,@end
