,,@bgm_play name=仮
,,@bg_show name=サラリーマンの部屋
,,@chara_show name=幼女 pos=center
幼女,dark,「さわらないで」
,,…えっ
,,@chara_hide name=幼女
,,わたしがぬいぐるみに触ると、その子は突然わたしに怒鳴ってきた
,,怒鳴ると言っても、かわいいものなんだけれど
,,「ああっ…ごめんね、大切なものにベタベタ触って」
,,はい、元の場所に戻したよ、と対して位置も変わっていないのにごまかしてみる。
,,@chara_show name=幼女 pos=center
幼女,dark,「………」
,,しかしこの子の表情が明るくなることはない…
,,（どうしよう、そんなにご機嫌斜めになってしまうようなことだったかな）
,,「…なたは……」
,,「うん？」
,,すると、わたしの顔を見上げたと思うと
,,キッと今までにみたことのない表情で睨んできたのだ
,,そして
,,その周りにはたくさんのぬいぐるみが囲んでいる
,,@chara_hide name=幼女
,,@still_show name=still_nui_girl
,,「あなたは　わたしから　ぜんぶ」
,,「ぜんぶ うばったの！！！！」
,,そうこの子が叫んだ瞬間、視界が歪む。
,,何かおぞましい力が働いているように。
,,@still_hide
,,@bg_show name=black
,,（あ、これもうわたしだめなやつだ）
,,薄れる意識の中、自分の最期を悟る。
,,しかしどうしてだろう、そんなに悲しいわけでもないのだ。
,,それはきっと
,,あの子が
,,わたしの
,,最期を見てくれたから
,,@bg_hide
,,@end
